text,drug,effect,indexes,label
We report two new cases of sarcoidosis in two patients with hepatitis C virus infection treated with interferon alfa and ribavirin.,interferon,hepatitis,0,0
Transient cardiac arrhythmias related to lopinavir/ritonavir in two patients with HIV infection.,ritonavir,infection,0,0
Renal tubular acidosis secondary to FK506 in living donor liver transplantation: a case report.,FK506,Renal tubular acidosis,"{'drug': {'start_char': array([36], dtype=int32), 'end_char': array([41], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([22], dtype=int32)}}",1
"A 51-yr-old nonsmoking male patient without any history of previous allergies, asthma, hay fever, or urticaria developed attacks of asthma when captopril was added to the nadolol and dyazide treatment for his high blood pressure.",captopril,fever,0,0
"A 51-yr-old nonsmoking male patient without any history of previous allergies, asthma, hay fever, or urticaria developed attacks of asthma when captopril was added to the nadolol and dyazide treatment for his high blood pressure.",nadolol,fever,0,0
Progressive anemia following combination therapy with interferon-alpha and interleukin-2 in a patient with metastatic renal cell carcinoma.,interferon,carcinoma,0,0
Cutaneous sarcoidosis during interferon alfa and ribavirin treatment of hepatitis C virus infection: two cases.,interferon,infection,0,0
"We report the first case of fulminant adult respiratory distress syndrome (ARDS) associated with pegylated interferon alpha-2a (pegIFNalpha-2a) and ribavirin use for hepatitis C, complicated by subsequent and ultimately fatal sepsis and multiorgan failure.",interferon,sepsis,0,0
"Rifampin (RFP) increases hepatic microsomal enzyme activity, and there are case reports of RFP-induced hypothyroidism, all associated with Hashimoto's thyroiditis.",Rifampin,Hashimoto's thyroiditis,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([8], dtype=int32)}, 'effect': {'start_char': array([139], dtype=int32), 'end_char': array([162], dtype=int32)}}",1
DISCUSSION: Methotrexate-induced papular eruption is rarely reported shortly after beginning methotrexate therapy in patients with acute exacerbation of collagen vascular diseases.,Methotrexate,papular eruption,"{'drug': {'start_char': array([12], dtype=int32), 'end_char': array([24], dtype=int32)}, 'effect': {'start_char': array([33], dtype=int32), 'end_char': array([49], dtype=int32)}}",1
DISCUSSION: The Naranjo probability scale indicated a probable relationship between sertraline treatment and the onset of rhabdomyolysis.,sertraline,rhabdomyolysis,"{'drug': {'start_char': array([84], dtype=int32), 'end_char': array([94], dtype=int32)}, 'effect': {'start_char': array([122], dtype=int32), 'end_char': array([136], dtype=int32)}}",1
We report the first case of IHA associated with cefuroxime administration.,cefuroxime,IHA,"{'drug': {'start_char': array([48], dtype=int32), 'end_char': array([58], dtype=int32)}, 'effect': {'start_char': array([28], dtype=int32), 'end_char': array([31], dtype=int32)}}",1
Thus any case of severe neutropenia occurring in a patient receiving olanzapine is alarming to clinicians.,olanzapine,severe neutropenia,"{'drug': {'start_char': array([69], dtype=int32), 'end_char': array([79], dtype=int32)}, 'effect': {'start_char': array([17], dtype=int32), 'end_char': array([35], dtype=int32)}}",1
"A second possibility is an interaction between clarithromycin and isradipine, potentially increasing the hepatic toxicity of isradipine.",isradipine,increasing the hepatic toxicity,"{'drug': {'start_char': array([ 66, 125], dtype=int32), 'end_char': array([ 76, 135], dtype=int32)}, 'effect': {'start_char': array([90], dtype=int32), 'end_char': array([121], dtype=int32)}}",1
"Vancomycin is widely used against methicillin-resistant Staphylococcus aureus infections, but it is associated with many adverse effects such as nephrotoxicity, ototoxicity, gastrointestinal disturbances, blood disorders, and two types of hypersensitivity reactions - an anaphylactoid reaction known as ""red man syndrome"" and anaphylaxis.",methicillin,ototoxicity,0,0
"A fatal pancytopenia occurred in a patient with an history of depression with hypomanic rebounds, admitted for a manic episode and treated with levomepromazine, diazepam and lithium carbonate.",levomepromazine,depression,0,0
OBSERVATIONS: A 48-year-old woman presented with disfiguring facial edema 10 weeks after she began antiviral therapy with peginterferon alfa-2a and ribavirin for chronic hepatitis C infection.,ribavirin,hepatitis,0,0
"Polyarthritis, hepatitis and anti-native DNA antibodies after treatment with ethambutol and rifampicin.",rifampicin,anti-native DNA antibodies,"{'drug': {'start_char': array([92], dtype=int32), 'end_char': array([102], dtype=int32)}, 'effect': {'start_char': array([29], dtype=int32), 'end_char': array([55], dtype=int32)}}",1
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",trimethoprim,eosinophilia,"{'drug': {'start_char': array([259], dtype=int32), 'end_char': array([271], dtype=int32)}, 'effect': {'start_char': array([220], dtype=int32), 'end_char': array([232], dtype=int32)}}",1
Methanol toxicity can cause severe central nervous system insult in which a characteristic pattern of bilateral putaminal injury is noted on brain imaging studies.,Methanol,severe central nervous system insult,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([8], dtype=int32)}, 'effect': {'start_char': array([28], dtype=int32), 'end_char': array([64], dtype=int32)}}",1
"We suggest that sarcoidosis may develop in chronic hepatitis C patients during interferon alpha and/or ribavirin treatment, and diagnostic tests for this adverse effect should be performed during the follow-ups.",ribavirin,hepatitis,0,0
Here we present the case of a generalized lichen nitidus with involvement of the palms in a patient with hepatitis C after systemic treatment with interferon alpha and ribavirin.,ribavirin,hepatitis,0,0
"Even after a strict warning, he took another quinine tablet that evening, which triggered his fifth episode of severe thrombocytopenia, and confirmed the etiology of quinine-induced thrombocytopenia.",quinine,thrombocytopenia,"{'drug': {'start_char': array([ 45, 166], dtype=int32), 'end_char': array([ 52, 173], dtype=int32)}, 'effect': {'start_char': array([118, 182], dtype=int32), 'end_char': array([134, 198], dtype=int32)}}",1
"After rechallenge with monotherapy pegvisomant, however, the hepatic enzyme disturbances reappeared within a few weeks, indicating that most likely pegvisomant alone and not the long-acting somatostatin analog or the combination of these two drugs was responsible for this case of drug-induced hepatitis.",somatostatin,hepatitis,0,0
"Second, we report a case of neutropenia, which proved to be fatal in a schizophrenia patient receiving olanzapine and thiazide.",olanzapine,fatal,0,0
"A 51-yr-old nonsmoking male patient without any history of previous allergies, asthma, hay fever, or urticaria developed attacks of asthma when captopril was added to the nadolol and dyazide treatment for his high blood pressure.",dyazide,fever,0,0
"In one patient the vasculitis resolved after termination of the ciprofloxacin therapy; in the other patient the ciprofloxacin-induced hemorrhagic vasculitis was superimposed on a severe forefoot infection, leading to progressive gangrene and a below-knee amputation.",ciprofloxacin,below-knee amputation,"{'drug': {'start_char': array([ 64, 112], dtype=int32), 'end_char': array([ 77, 125], dtype=int32)}, 'effect': {'start_char': array([244], dtype=int32), 'end_char': array([265], dtype=int32)}}",1
"We report a case of drug-induced Kaposi's sarcoma (KS) on the sole of the right foot in a 71-year-old man, treated for 6 months with corticosteroid therapy (prednisolone 25 mg/day) for pericardial effusion.",corticosteroid,effusion,0,0
"The disease-modifying drugs he was taking, cyclosporin and methotrexate, were stopped, and the lymphoma resolved spontaneously without the use of chemotherapy.",methotrexate,lymphoma,"{'drug': {'start_char': array([59], dtype=int32), 'end_char': array([71], dtype=int32)}, 'effect': {'start_char': array([95], dtype=int32), 'end_char': array([103], dtype=int32)}}",1
We report the first case of acute renal failure with hyperkalemia associated with the recently marketed direct renin inhibitor aliskiren.,aliskiren,hyperkalemia,"{'drug': {'start_char': array([127], dtype=int32), 'end_char': array([136], dtype=int32)}, 'effect': {'start_char': array([53], dtype=int32), 'end_char': array([65], dtype=int32)}}",1
Gold nephropathy due to auranofin obscured by tolmetin pseudoproteinuria.,auranofin,pseudoproteinuria,0,0
"DIAGNOSIS: Severe temozolomide-induced immunosuppression, exacerbated by corticosteroids, with profound T-cell lymphocytopenia and simultaneous opportunistic infections with Pneumocystis jiroveci pneumonia, brain abscess with Listeria monocytogenes, and cutaneous Kaposi's sarcoma.",corticosteroids,pneumonia,0,0
This is a case report of fatal cryptococcal meningitis in a child with systemic lupus erythematosus being treated with prednisolone and azathioprine.,azathioprine,lupus,0,0
Prenatal cytomegalovirus (CMV) infection associated with severe brain damage was detected in an infant whose mother had been treated with prednisolone and azathioprine for systemic lupus erythematosus (SLE).,prednisolone,lupus,0,0
A study following large patient groups on theophylline and a combination of theophylline and steroids might clarify the risk of ulcer formation in patients being treated with these medications for asthma.,theophylline,ulcer,"{'drug': {'start_char': array([42, 76], dtype=int32), 'end_char': array([54, 88], dtype=int32)}, 'effect': {'start_char': array([128], dtype=int32), 'end_char': array([133], dtype=int32)}}",1
The responsibility of CCNU in the pathogenesis of pulmonary fibrosis seems very likely.,CCNU,pulmonary fibrosis,"{'drug': {'start_char': array([22], dtype=int32), 'end_char': array([26], dtype=int32)}, 'effect': {'start_char': array([50], dtype=int32), 'end_char': array([68], dtype=int32)}}",1
"CONCLUSIONS: This report indicates clindamycin phosphate vaginal cream as the most probable cause of CDIC due to the temporal relationship between the occurrence of diarrhea and clindamycin administration, lack of concomitant medications, and documentation of C. difficile toxin.",clindamycin phosphate,CDIC,"{'drug': {'start_char': array([35], dtype=int32), 'end_char': array([56], dtype=int32)}, 'effect': {'start_char': array([101], dtype=int32), 'end_char': array([105], dtype=int32)}}",1
"In this report, a patient who had undergone a renal transplantation as a result of malignant hypertension, and who was on immunosuppressive therapy consisting of cyclosporin, prednisone and azathioprine, developed thrombosis of the central retinal vein 5 years following the transplantation.",cyclosporin,thrombosis,"{'drug': {'start_char': array([162], dtype=int32), 'end_char': array([173], dtype=int32)}, 'effect': {'start_char': array([214], dtype=int32), 'end_char': array([224], dtype=int32)}}",1
"A patient suffering from heparin-associated thrombocytopenia (HAT), recurrent arteriothromboses, and acute renal failure after treatment with standard heparin is described.",heparin,acute renal failure,"{'drug': {'start_char': array([ 25, 151], dtype=int32), 'end_char': array([ 32, 158], dtype=int32)}, 'effect': {'start_char': array([101], dtype=int32), 'end_char': array([120], dtype=int32)}}",1
Diphenylhydantoin apparently adversely affected both the clinical and biochemical parameters of the acute intermittent porphyria.,Diphenylhydantoin,acute intermittent porphyria,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([17], dtype=int32)}, 'effect': {'start_char': array([100], dtype=int32), 'end_char': array([128], dtype=int32)}}",1
"Second, we report a case of neutropenia, which proved to be fatal in a schizophrenia patient receiving olanzapine and thiazide.",olanzapine,schizophrenia,0,0
"One patient required nursing home placement and a feeding gastrostomy as a result of the worsening parkinsonism during risperidone treatment, but was able to return home and have the gastrostomy removed after switching from risperidone to clozapine.",clozapine,parkinsonism,0,0
"Since recent studies have reported no negative interactions with concurrent use, we here report three cases (one case of a prolonged seizure, a serotonin syndrome and a focal seizure) of severe lithium-induced side effects while patients underwent ECT without complications and lithium serum levels were still subtherapeutic.",lithium,serotonin syndrome,"{'drug': {'start_char': array([194, 278], dtype=int32), 'end_char': array([201, 285], dtype=int32)}, 'effect': {'start_char': array([144], dtype=int32), 'end_char': array([162], dtype=int32)}}",1
CONCLUSION: This report describes a case of a probable interaction between topical econazole lotion 1% and acenocoumarol that resulted in overanticoagulation and a life-threatening laryngeal hematoma in this elderly patient.,acenocoumarol,interaction,0,0
"Chronic myelogenous leukemia (CML), hepatitis C, and interferon alpha (IFNalpha) have all been associated with renal dysfunction.",interferon,hepatitis,0,0
"We experienced a male patient with psoriasis and hypertension whose conditions were treated with tacalcitol ointment and thiazide, respectively, resulting in hypercalciuria and hypercalcemia.",thiazide,hypertension,0,0
Rapid onset of muscle weakness (rhabdomyolysis) associated with the combined use of simvastatin and colchicine.,colchicine,rhabdomyolysis,"{'drug': {'start_char': array([100], dtype=int32), 'end_char': array([110], dtype=int32)}, 'effect': {'start_char': array([32], dtype=int32), 'end_char': array([46], dtype=int32)}}",1
A case of toxic hepatitis caused by combination therapy with methotrexate and etretinate in the treatment of severe psoriasis is presented in a 47-year-old woman.,methotrexate,psoriasis,0,0
"Four years after the beginning of IFN therapy, he acutely developed moderate hyperglycemia and severe ketonuria with positive islet cell antibody, and then 28 units/day of insulin injection was started.",insulin,hyperglycemia,0,0
"In this report, a patient who had undergone a renal transplantation as a result of malignant hypertension, and who was on immunosuppressive therapy consisting of cyclosporin, prednisone and azathioprine, developed thrombosis of the central retinal vein 5 years following the transplantation.",prednisone,hypertension,0,0
Toxic optic neuropathy associated with ethambutol: implications for current therapy.,ethambutol,Toxic optic neuropathy,"{'drug': {'start_char': array([39], dtype=int32), 'end_char': array([49], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([22], dtype=int32)}}",1
Three of 50 patients treated with isotretinoin (1 mg/kg/day) for cystic acne complained of poor night vision and/or excessive glare sensitivity.,isotretinoin,poor night vision,"{'drug': {'start_char': array([34], dtype=int32), 'end_char': array([46], dtype=int32)}, 'effect': {'start_char': array([91], dtype=int32), 'end_char': array([108], dtype=int32)}}",1
Reversible methotrexate-associated lymphoproliferative disorder resembling advanced gastric cancer in a patient with rheumatoid arthritis.,methotrexate,lymphoproliferative disorder,"{'drug': {'start_char': array([11], dtype=int32), 'end_char': array([23], dtype=int32)}, 'effect': {'start_char': array([35], dtype=int32), 'end_char': array([63], dtype=int32)}}",1
"We report the case of a lung cancer patient with bronquiloalveolar carcinoma (BAC) presenting with BOOP after chemotherapy with docetaxel and gemcitabine producing severe respiratory insufficiency, and simulating a progression of the tumor.",gemcitabine,carcinoma,0,0
"Flare of Kaposi's sarcoma (KS) is well described in immunosuppressed patients treated with corticosteroids and rituximab, but has not yet been reported during treatment with imatinib.",imatinib,sarcoma,0,0
"These features have not previously been reported as side effects of glibenclamide therapy, but intrahepatic cholestasis may occur with chlorpropamide, a similar sulphonylurea agent.",chlorpropamide,intrahepatic cholestasis,"{'drug': {'start_char': array([135], dtype=int32), 'end_char': array([149], dtype=int32)}, 'effect': {'start_char': array([95], dtype=int32), 'end_char': array([119], dtype=int32)}}",1
Discontinuation of simvastatin and cyclosporine resulted in resolution of rhabdomyolysis and normalization of renal function.,simvastatin,cyclosporine,0,0
Severe visual loss after a single dose of vincristine in a patient with spinal cord astrocytoma.,vincristine,Severe visual loss,"{'drug': {'start_char': array([42], dtype=int32), 'end_char': array([53], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([18], dtype=int32)}}",1
Oral 25-hydroxyvitain D3 in treatment of osteomalacia associated with ileal resection and cholestyramine therapy.,cholestyramine,osteomalacia,0,0
"A 62-year-old woman who was being treated for squamous cell carcinoma of the head and neck developed a chemotherapy-related hemolytic-uremic syndrome during the second cycle of neoadjuvant chemotherapy consisting of cisplatin, bleomycin, and methotrexate.",cisplatin,carcinoma,0,0
"In patients with swallowing dysfunction and pneumonia, a history of mineral oil use should be obtained and a diagnosis of ELP should be considered in the differential diagnoses if mineral oil use has occurred.",mineral oil,ELP,"{'drug': {'start_char': array([ 68, 180], dtype=int32), 'end_char': array([ 79, 191], dtype=int32)}, 'effect': {'start_char': array([122], dtype=int32), 'end_char': array([125], dtype=int32)}}",1
Bleomycin and cyclophosphamide toxicity simulating metastatic nodules to the lungs in childhood cancer.,cyclophosphamide,toxicity,0,0
Two patients treated with 5-fluorouracil (5-FU) for disseminated adenocarcinoma of the colon developed cerebellar dysfunction typical of 5-FU neurotoxicity.,5-FU,neurotoxicity,"{'drug': {'start_char': array([ 42, 137], dtype=int32), 'end_char': array([ 46, 141], dtype=int32)}, 'effect': {'start_char': array([142], dtype=int32), 'end_char': array([155], dtype=int32)}}",1
"Iatrogenic hypercalcemia due to vitamin D3 ointment (1,24(OH)2D3) combined with thiazide diuretics in a case of psoriasis.",thiazide,psoriasis,0,0
"We report the first case of fulminant adult respiratory distress syndrome (ARDS) associated with pegylated interferon alpha-2a (pegIFNalpha-2a) and ribavirin use for hepatitis C, complicated by subsequent and ultimately fatal sepsis and multiorgan failure.",ribavirin,sepsis,0,0
"An association of granulocytopenia, eosinophilia, skin reaction and hepatitis during propylthiouracil (PTU) therapy for thyrotoxicosis in a 47 year old black female is reported.",propylthiouracil,thyrotoxicosis,0,0
"A fatal pancytopenia occurred in a patient with an history of depression with hypomanic rebounds, admitted for a manic episode and treated with levomepromazine, diazepam and lithium carbonate.",lithium,depression,0,0
We describe the exceptional development of AML and lung cancer in a patient with previously diagnosed CLL in minimal residual disease status after fludarabine treatment followed by autologous peripheral blood stem-cell transplantation.,fludarabine,lung cancer,"{'drug': {'start_char': array([147], dtype=int32), 'end_char': array([158], dtype=int32)}, 'effect': {'start_char': array([51], dtype=int32), 'end_char': array([62], dtype=int32)}}",1
Sulfasalazine-induced lupus erythematosus.,Sulfasalazine,lupus erythematosus,"{'drug': {'start_char': array([0], dtype=int32), 'end_char': array([13], dtype=int32)}, 'effect': {'start_char': array([22], dtype=int32), 'end_char': array([41], dtype=int32)}}",1
"However, a large case-control study included three cases of either Stevens-Johnson syndrome or toxic epidermal necrolysis associated with ofloxacin use, but no details of the cases were given.",ofloxacin,Stevens-Johnson syndrome,"{'drug': {'start_char': array([138], dtype=int32), 'end_char': array([147], dtype=int32)}, 'effect': {'start_char': array([67], dtype=int32), 'end_char': array([91], dtype=int32)}}",1
"The first known report of quetiapine exacerbating OCS in a 43-year-old man with obsessive-compulsive disorder (OCD), trichotillomania, delusional disorder and bipolar II disorder is presented.",quetiapine,exacerbating OCS,"{'drug': {'start_char': array([26], dtype=int32), 'end_char': array([36], dtype=int32)}, 'effect': {'start_char': array([37], dtype=int32), 'end_char': array([53], dtype=int32)}}",1
"Three patients, in whom tumour overkill by cytotoxic treatment, including high dose methotrexate with folinic acid rescue, resulted in the 'phosphate shower syndrome' (hyper-uricaemia, hyperkalaemia and hyperphosphataemia with hypocalcaemia and tetany, with metabolic acidosis and acute renal impairment) are described.",phosphate,tetany,0,0
"A 66-year-old Japanese woman with severe scleroderma developed anemia and thrombocytopenia due to D-penicillamine (D-Pen) treatment, although the leukopenia was not markedly severe.",penicillamine,leukopenia,0,0
"The rash seen in this patient, who was treated with cephalexin, may be similar to the rash seen with ampicillin treatment of patients with infectious mononucleosis.",cephalexin,mononucleosis,0,0
"Several case reports of aplastic anemia with use of acetazolamide, and two cases with use of methazolamide, have appeared in the literature.",acetazolamide,aplastic anemia,"{'drug': {'start_char': array([52], dtype=int32), 'end_char': array([65], dtype=int32)}, 'effect': {'start_char': array([24], dtype=int32), 'end_char': array([39], dtype=int32)}}",1
A case of contact dermatitis due to sodium bisulfite in an ophthalmic solution.,sodium bisulfite,contact dermatitis,"{'drug': {'start_char': array([36], dtype=int32), 'end_char': array([52], dtype=int32)}, 'effect': {'start_char': array([10], dtype=int32), 'end_char': array([28], dtype=int32)}}",1
Intranasal desmopressin-induced hyponatremia.,desmopressin,hyponatremia,"{'drug': {'start_char': array([11], dtype=int32), 'end_char': array([23], dtype=int32)}, 'effect': {'start_char': array([32], dtype=int32), 'end_char': array([44], dtype=int32)}}",1
"A second possibility is an interaction between clarithromycin and isradipine, potentially increasing the hepatic toxicity of isradipine.",clarithromycin,interaction,0,0
We report four cases of encephalopathy coincident with elevated aluminum levels as well as one patient who developed seizures while receiving continuous bladder irrigations with alum.,aluminum,seizures,0,0
CONCLUSIONS: The risk of drug-induced rhabdomyolysis due to the potential interaction between lovastatin and azithromycin or clarithromycin should be considered before the concomitant use of these agents.,lovastatin,interaction,0,0
Pharmacokinetic determinants of 6-mercaptopurine myelotoxicity and therapeutic failure in children with acute lymphoblastic leukemia.,6-mercaptopurine,myelotoxicity,"{'drug': {'start_char': array([32], dtype=int32), 'end_char': array([48], dtype=int32)}, 'effect': {'start_char': array([49], dtype=int32), 'end_char': array([62], dtype=int32)}}",1
We report the case of a 40-year-old woman who developed fulminant hepatic failure and aplastic anaemia following a course of oral flucloxacillin.,flucloxacillin,fulminant hepatic failure,"{'drug': {'start_char': array([130], dtype=int32), 'end_char': array([144], dtype=int32)}, 'effect': {'start_char': array([56], dtype=int32), 'end_char': array([81], dtype=int32)}}",1
"A sixty-year-old woman with advanced breast cancer, previously treated with cisplatin, developed an irreversible lethal renal failure with anuria, the day after 5 g/m2 bolus ifosfamide.",cisplatin,anuria,0,0
Atrial fibrillation occurring in a patient taking etanercept plus methotrexate for rheumatoid arthritis.,methotrexate,arthritis,0,0
CONCLUSION: Healthcare professionals should be aware of the possible development of serotonin syndrome as a complication of initiation of fentanyl and other phenylpiperidine opioids in patients treated with SSRIs.,fentanyl,serotonin syndrome,"{'drug': {'start_char': array([138], dtype=int32), 'end_char': array([146], dtype=int32)}, 'effect': {'start_char': array([84], dtype=int32), 'end_char': array([102], dtype=int32)}}",1
We described the occurrence of L-dopa-induced myoclonus and seizures in a case of parkinsonism with its SEPs findings.,L-dopa,seizures,"{'drug': {'start_char': array([31], dtype=int32), 'end_char': array([37], dtype=int32)}, 'effect': {'start_char': array([60], dtype=int32), 'end_char': array([68], dtype=int32)}}",1
We report two new cases of sarcoidosis in two patients with hepatitis C virus infection treated with interferon alfa and ribavirin.,interferon alfa,sarcoidosis,"{'drug': {'start_char': array([101], dtype=int32), 'end_char': array([116], dtype=int32)}, 'effect': {'start_char': array([27], dtype=int32), 'end_char': array([38], dtype=int32)}}",1
Five patients are described in whom only gentamicin sulfate appeared responsible for acute renal failure.,gentamicin sulfate,acute renal failure,"{'drug': {'start_char': array([41], dtype=int32), 'end_char': array([59], dtype=int32)}, 'effect': {'start_char': array([85], dtype=int32), 'end_char': array([104], dtype=int32)}}",1
CONCLUSIONS: The risk of drug-induced rhabdomyolysis due to the potential interaction between lovastatin and azithromycin or clarithromycin should be considered before the concomitant use of these agents.,azithromycin,interaction,0,0
METHODS: A 68-year-old man developed intense conjunctival hyperemia and cystoid macula edema after switching from latanoprost to bimatoprost 9 months after cataract surgery in an eye at low-risk for this cystoid macular edema.,bimatoprost,cystoid macular edema,"{'drug': {'start_char': array([129], dtype=int32), 'end_char': array([140], dtype=int32)}, 'effect': {'start_char': array([204], dtype=int32), 'end_char': array([225], dtype=int32)}}",1
"We report the first case of fulminant adult respiratory distress syndrome (ARDS) associated with pegylated interferon alpha-2a (pegIFNalpha-2a) and ribavirin use for hepatitis C, complicated by subsequent and ultimately fatal sepsis and multiorgan failure.",interferon,fatal,0,0
"The second patient, who developed cholestasis after receiving trimethoprim-sulfamethoxazole, had marked duct paucity in the liver biopsy.",trimethoprim-sulfamethoxazole,duct paucity,"{'drug': {'start_char': array([62], dtype=int32), 'end_char': array([91], dtype=int32)}, 'effect': {'start_char': array([104], dtype=int32), 'end_char': array([116], dtype=int32)}}",1
We describe the case of a nonatopic 17-year-old girl with bronchial asthma and aspirin intolerance who developed a dramatic anaphylactic reaction to oral prednisone.,aspirin,asthma,0,0
We report the case of an 11-year-old female treated for mediastinal T-cell lymphoma who presented renal failure following the second cycle of high-dose methotrexate (HDMTX).,methotrexate,lymphoma,0,0
"Torsades de Pointes induced by a combination of garenoxacin and disopyramide and other cytochrome P450, family 3, subfamily A polypeptide-4-influencing drugs during hypokalemia due to licorice.",disopyramide,hypokalemia,0,0
"Intravenous verapamil therapy in babies may cause apnea, hypotension, and bradycardia; continued episodes of atrial flutter in a child may cause sudden death; quinidine may be related to the death; children with ""familial seizure disorders"" may in fact have the long QT interval syndrome.",quinidine,hypotension,0,0
We report a 46-yr-old woman with ovarian carcinoma who developed porphyria cutanea tarda while undergoing treatment with cisplatin and cyclophosphamide.,cyclophosphamide,carcinoma,0,0
Neutropenia and agranulocytosis are risks known to occur with phenothiazines and clozapine.,clozapine,Neutropenia,"{'drug': {'start_char': array([81], dtype=int32), 'end_char': array([90], dtype=int32)}, 'effect': {'start_char': array([0], dtype=int32), 'end_char': array([11], dtype=int32)}}",1
"Used injudiciously, naloxone can lead to withdrawal syndrome, return of severe pain, and other adverse effects.",lead,pain,0,0
Clozapine-induced eosinophilia and switch to quetiapine in a patient with chronic schizophrenia with suicidal tendencies.,quetiapine,schizophrenia,0,0
OBJECTIVE: We report a case of cutaneous KS lesions in a patient affected by CML treated with imatinib.,imatinib,cutaneous KS lesions,"{'drug': {'start_char': array([94], dtype=int32), 'end_char': array([102], dtype=int32)}, 'effect': {'start_char': array([31], dtype=int32), 'end_char': array([51], dtype=int32)}}",1
CONCLUSION: The results suggest that olanzapine may be useful in treating patients with clozapine-induced granulocytopenia without the risk of recurrence of hematologic side effects.,clozapine,granulocytopenia,"{'drug': {'start_char': array([88], dtype=int32), 'end_char': array([97], dtype=int32)}, 'effect': {'start_char': array([106], dtype=int32), 'end_char': array([122], dtype=int32)}}",1
We report a 46-yr-old woman with ovarian carcinoma who developed porphyria cutanea tarda while undergoing treatment with cisplatin and cyclophosphamide.,cisplatin,carcinoma,0,0
The present report illustrates a rare case of refractory akathisia after interferon-alpha treatment and also that levodopa treatment would be theoretically and practically useful in reducing the neurotoxicity associated with interferon-alpha.,levodopa,neurotoxicity,0,0
Reversal of severe methanol-induced visual impairment: no evidence of retinal toxicity due to fomepizole.,methanol,visual impairment,"{'drug': {'start_char': array([19], dtype=int32), 'end_char': array([27], dtype=int32)}, 'effect': {'start_char': array([36], dtype=int32), 'end_char': array([53], dtype=int32)}}",1
"DIAGNOSIS: Severe temozolomide-induced immunosuppression, exacerbated by corticosteroids, with profound T-cell lymphocytopenia and simultaneous opportunistic infections with Pneumocystis jiroveci pneumonia, brain abscess with Listeria monocytogenes, and cutaneous Kaposi's sarcoma.",corticosteroids,infections,0,0
